item_id,meeting_id,item_number,item_type,application_id,applicant_name,project_title,district,address_raw,summary,outcome,motion_text,vote_result,created_at,project_matches,staff_code,needs_review,extraction_confidence,category_id,item_order,item_title,item_text,action_taken,action_type,vote_detected,extraction_notes
1429,188,5,Ordinance,Ordinance No. 2016-12,,"Ordinance No. 2016-12 An Ordinance of the Village Council of the Village of Estero, Florida, Authorizing Lee County to Levy Special Assessments within Village Boundaries for Municipal Solid Waste Disposal Pursuant to §125.0l(l)(Q), Florida Statutes; Provi",,,"Ordinance No. 2016-12 An Ordinance of the Village Council of the Village of Estero, Florida, Authorizing Lee County to Levy Special Assessments within Village Boundaries for Municipal Solid Waste Disposal Pursuant to §125.0l(l)(Q), Florida Statutes; Provi. Action: Passed first reading of Ordinance No. 2016-12",Passed first reading of Ordinance No. 2016-12,,Unanimous,,,,True,0.5,8,5,"Ordinance No. 2016-12 An Ordinance of the Village Council of the Village of Estero, Florida, Authorizing Lee County to Levy Special Assessments within Village Boundaries for Municipal Solid Waste Disposal Pursuant to §125.0l(l)(Q), Florida Statutes; Provi","Ordinance No. 2016-12 An Ordinance of the Village Council of the Village of Estero, Florida, Authorizing Lee County to Levy Special Assessments within Village Boundaries for Municipal Solid Waste Disposal Pursuant to §125.0l(l)(Q), Florida Statutes; Provi. Action: Passed first reading of Ordinance No. 2016-12",Passed first reading of Ordinance No. 2016-12,Ordinance,True,
1430,188,6,Contract Approval,,,Disposal Facilities Assessment,,,"Disposal Facilities Assessment. Action: Approved the Interlocal Agreement for Municipal Solid Waste Collection, Customer Services, Billing, and Disposal","Approved the Interlocal Agreement for Municipal Solid Waste Collection, Customer Services, Billing, and Disposal",,Unanimous,,,,True,0.5,6,6,Disposal Facilities Assessment,"Disposal Facilities Assessment. Action: Approved the Interlocal Agreement for Municipal Solid Waste Collection, Customer Services, Billing, and Disposal","Approved the Interlocal Agreement for Municipal Solid Waste Collection, Customer Services, Billing, and Disposal",Contract Approval,True,
1431,188,7,Contract Approval,,,Disposal Facilities Assessment,,,Disposal Facilities Assessment. Action: Approved the Interlocal Agreement for a Disposal Facilities Assessment,Approved the Interlocal Agreement for a Disposal Facilities Assessment,,Unanimous,,,,True,0.5,6,7,Disposal Facilities Assessment,Disposal Facilities Assessment. Action: Approved the Interlocal Agreement for a Disposal Facilities Assessment,Approved the Interlocal Agreement for a Disposal Facilities Assessment,Contract Approval,True,
1432,188,8,Contract Approval,,,Distribution of Local Option Gas Taxes,,,Distribution of Local Option Gas Taxes. Action: Approved the Interlocal Agreement for Distribution of Local Option Gas Taxes,Approved the Interlocal Agreement for Distribution of Local Option Gas Taxes,,Unanimous,,,,True,0.5,7,8,Distribution of Local Option Gas Taxes,Distribution of Local Option Gas Taxes. Action: Approved the Interlocal Agreement for Distribution of Local Option Gas Taxes,Approved the Interlocal Agreement for Distribution of Local Option Gas Taxes,Contract Approval,True,
1433,188,9,Contract Approval,,,"Page 5, Section X. Notices, correct the Village of Estero mailing address",,,"Page 5, Section X. Notices, correct the Village of Estero mailing address. Action: Approved the Interlocal Agreement for Providing Municipal Services",Approved the Interlocal Agreement for Providing Municipal Services,,Unanimous,,,,True,0.5,7,9,"Page 5, Section X. Notices, correct the Village of Estero mailing address","Page 5, Section X. Notices, correct the Village of Estero mailing address. Action: Approved the Interlocal Agreement for Providing Municipal Services",Approved the Interlocal Agreement for Providing Municipal Services,Contract Approval,True,
1434,188,10,Vote,,,"Agreement for Election Services between the Village ofEstero and Sharon Harrington, the Supervisor of Elections of Lee County, Florida The agreement was still in process",,,"Agreement for Election Services between the Village ofEstero and Sharon Harrington, the Supervisor of Elections of Lee County, Florida The agreement was still in process. Action: continued to the September 21, 2016 Council meeting","continued to the September 21, 2016 Council meeting",,Detected,,,,True,0.5,6,10,"Agreement for Election Services between the Village ofEstero and Sharon Harrington, the Supervisor of Elections of Lee County, Florida The agreement was still in process","Agreement for Election Services between the Village ofEstero and Sharon Harrington, the Supervisor of Elections of Lee County, Florida The agreement was still in process. Action: continued to the September 21, 2016 Council meeting","continued to the September 21, 2016 Council meeting",Vote,True,
1435,188,11,Contract Approval,,Lee County,Interlocal Agreements with Lee County,,,Interlocal Agreements with Lee County. Action: No formal action recorded. Interlocal Agreements with Lee County,No formal action recorded. Interlocal Agreements with Lee County,,,,,,True,0.5,7,11,Interlocal Agreements with Lee County,Interlocal Agreements with Lee County. Action: No formal action recorded. Interlocal Agreements with Lee County,No formal action recorded. Interlocal Agreements with Lee County,Contract Approval,False,
1436,188,12,Unknown,,,"Collection, Customer Services, Billing, and Disposal",,,"Collection, Customer Services, Billing, and Disposal. Action: No formal action recorded. Collection, Customer Services, Billing, and Disposal","No formal action recorded. Collection, Customer Services, Billing, and Disposal",,,,,,True,0.5,8,12,"Collection, Customer Services, Billing, and Disposal","Collection, Customer Services, Billing, and Disposal. Action: No formal action recorded. Collection, Customer Services, Billing, and Disposal","No formal action recorded. Collection, Customer Services, Billing, and Disposal",Unknown,False,
1437,188,13,Contract Approval,,,"Municipal Services Fiscal Impact: Amounts budgeted in 2016-2017 for Municipal Services are as follows: • • • Animal Services Natural Resources Transportation Total: $ 48,430 $ 246,000 $2,203,800 $2,498,230 Village Council Meeting Final Action Agenda/Minut",,,"Municipal Services Fiscal Impact: Amounts budgeted in 2016-2017 for Municipal Services are as follows: • • • Animal Services Natural Resources Transportation Total: $ 48,430 $ 246,000 $2,203,800 $2,498,230 Village Council Meeting Final Action Agenda/Minut. Action: No formal action recorded. Municipal Services Fiscal Impact: Amounts budgeted in 2016-2017 for Municipal Services are as follows: • • • Animal Services Natural Resources Transportation Total: $ 48,430 $ 246,000 $2,203,800 $2,498,230 Village Council Meeting Final Action Agenda/Minutes - September 7, 2016 Page 5 of7 Village Manager Sarkozy provided explanation of the contract, noting that it had been amended slightly due to the county's price structure. He also noted the following two amendments","No formal action recorded. Municipal Services Fiscal Impact: Amounts budgeted in 2016-2017 for Municipal Services are as follows: • • • Animal Services Natural Resources Transportation Total: $ 48,430 $ 246,000 $2,203,800 $2,498,230 Village Council Meeting Final Action Agenda/Minutes - September 7, 2016 Page 5 of7 Village Manager Sarkozy provided explanation of the contract, noting that it had been amended slightly due to the county's price structure. He also noted the following two amendments",,,,,,True,0.5,4,13,"Municipal Services Fiscal Impact: Amounts budgeted in 2016-2017 for Municipal Services are as follows: • • • Animal Services Natural Resources Transportation Total: $ 48,430 $ 246,000 $2,203,800 $2,498,230 Village Council Meeting Final Action Agenda/Minut","Municipal Services Fiscal Impact: Amounts budgeted in 2016-2017 for Municipal Services are as follows: • • • Animal Services Natural Resources Transportation Total: $ 48,430 $ 246,000 $2,203,800 $2,498,230 Village Council Meeting Final Action Agenda/Minut. Action: No formal action recorded. Municipal Services Fiscal Impact: Amounts budgeted in 2016-2017 for Municipal Services are as follows: • • • Animal Services Natural Resources Transportation Total: $ 48,430 $ 246,000 $2,203,800 $2,498,230 Village Council Meeting Final Action Agenda/Minutes - September 7, 2016 Page 5 of7 Village Manager Sarkozy provided explanation of the contract, noting that it had been amended slightly due to the county's price structure. He also noted the following two amendments","No formal action recorded. Municipal Services Fiscal Impact: Amounts budgeted in 2016-2017 for Municipal Services are as follows: • • • Animal Services Natural Resources Transportation Total: $ 48,430 $ 246,000 $2,203,800 $2,498,230 Village Council Meeting Final Action Agenda/Minutes - September 7, 2016 Page 5 of7 Village Manager Sarkozy provided explanation of the contract, noting that it had been amended slightly due to the county's price structure. He also noted the following two amendments",Contract Approval,False,
1438,188,14,Unknown,,,"Page 4, Section V. A. Transfer Notice, last sentence to read: ""The Notice shall be given not less than 60 days prior to effective date.""",,,"Page 4, Section V. A. Transfer Notice, last sentence to read: ""The Notice shall be given not less than 60 days prior to effective date."". Action: No formal action recorded. Page 4, Section V. A. Transfer Notice, last sentence to read: ""The Notice shall be given not less than 60 days prior to effective date.""","No formal action recorded. Page 4, Section V. A. Transfer Notice, last sentence to read: ""The Notice shall be given not less than 60 days prior to effective date.""",,,,,,True,0.5,8,14,"Page 4, Section V. A. Transfer Notice, last sentence to read: ""The Notice shall be given not less than 60 days prior to effective date.""","Page 4, Section V. A. Transfer Notice, last sentence to read: ""The Notice shall be given not less than 60 days prior to effective date."". Action: No formal action recorded. Page 4, Section V. A. Transfer Notice, last sentence to read: ""The Notice shall be given not less than 60 days prior to effective date.""","No formal action recorded. Page 4, Section V. A. Transfer Notice, last sentence to read: ""The Notice shall be given not less than 60 days prior to effective date.""",Unknown,False,
